Status Kahwin,Pendidikan Tertinggi,Pekerjaan (1 digit),2 Kereta,3 atau lebih Kereta,Penghawa Dingin,Komputer Riba,Telefon Bimbit,Saluran TV Berbayar,Langganan Internet,Penapis Air,Pemilikan Kediaman,Status Pemilikan,Bilangan Isi Rumah dalam Kediaman,Jumlah Pendapatan Isi Rumah,Gaji,cluster_label
1,10,0,1,0,0,0,0,1,1,1,1,1,1,6885,0,0
0,10,0,1,0,0,0,0,1,1,1,1,1,1,6885,0,0
0,90,0,1,0,0,0,0,1,1,1,1,1,1,6885,0,0
2,10,9,0,0,0,0,0,0,0,0,1,1,1,2948,1256,2
2,10,0,0,0,0,0,0,0,0,0,1,1,1,2948,0,2
1,10,7,0,0,0,0,0,0,0,0,1,1,1,2948,1692,2
1,70,0,0,0,0,0,0,0,0,0,1,1,1,2948,0,2
1,40,0,0,0,0,0,0,0,0,0,1,1,1,2948,0,2
1,30,0,0,0,0,0,0,0,0,0,1,1,1,2948,0,2
2,10,9,0,0,0,0,1,0,0,0,1,1,1,12999,1256,0
1,30,0,0,0,0,0,1,0,0,0,1,1,1,12999,0,0
0,90,0,0,0,0,0,1,0,0,0,1,1,1,12999,0,0
3,20,9,0,0,0,0,1,0,0,0,1,1,1,1256,1256,1
1,30,0,0,0,0,0,1,0,0,0,1,1,1,1256,0,1
1,30,0,0,0,0,0,1,0,0,0,1,1,1,1256,0,1
1,10,0,0,0,0,0,1,0,0,0,1,1,1,1256,0,1
2,10,0,0,0,0,0,1,1,0,1,1,1,1,3771,0,2
2,10,0,0,0,0,0,1,1,0,1,1,1,1,3771,0,2
1,30,8,0,0,0,0,1,1,0,1,1,1,1,3771,1662,2
2,30,0,0,0,0,0,1,1,0,1,1,1,1,3771,0,2
2,30,4,0,0,0,0,1,1,0,1,1,1,1,3771,2109,2
0,0,0,0,0,0,0,1,1,0,1,1,1,1,3771,0,2
0,90,0,0,0,0,0,1,1,0,1,1,1,1,3771,0,2
0,90,0,0,0,0,0,1,1,0,1,1,1,1,3771,0,2
2,30,9,0,0,0,0,0,0,0,0,1,1,1,1256,1256,1
2,20,9,0,0,0,0,1,1,0,0,1,1,1,1256,1256,1
2,10,0,0,0,0,0,1,1,0,0,1,1,1,1256,0,1
1,30,0,0,0,0,0,1,1,0,0,1,1,1,1256,0,1
1,30,0,0,0,0,0,1,1,0,0,1,1,1,1256,0,1
1,20,0,0,0,0,0,1,1,0,0,1,1,1,1256,0,1
2,10,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1
2,10,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1
0,90,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1
2,30,9,0,0,0,0,1,1,0,0,1,1,1,1256,1256,1
2,30,0,0,0,0,0,1,1,0,0,1,1,1,1256,0,1
3,10,0,0,0,0,0,1,1,0,0,1,1,1,1256,0,1
0,0,0,0,0,0,0,1,1,0,0,1,1,1,1256,0,1
0,90,0,0,0,0,0,1,1,0,0,1,1,1,1256,0,1
2,30,0,1,0,0,1,1,1,0,1,1,1,1,13934,0,0
1,40,0,1,0,0,1,1,1,0,1,1,1,1,13934,0,0
1,20,0,1,0,0,1,1,1,0,1,1,1,1,13934,0,0
1,10,0,1,0,0,1,1,1,0,1,1,1,1,13934,0,0
0,10,0,1,0,0,1,1,1,0,1,1,1,1,13934,0,0
2,30,0,0,0,1,0,1,0,0,0,1,2,1,6967,0,0
0,10,0,0,0,1,0,1,0,0,0,1,2,1,6967,0,0
0,0,0,0,0,1,0,1,0,0,0,1,2,1,6967,0,0
3,10,7,0,0,0,1,1,1,0,0,1,1,1,3801,1692,2
1,40,4,0,0,0,1,1,1,0,0,1,1,1,3801,2109,2
2,10,8,0,0,0,0,1,0,0,0,2,1,1,1662,1662,1
2,10,0,0,0,0,0,1,0,0,0,2,1,1,1662,0,1
1,30,0,0,0,0,0,1,0,0,0,2,1,1,1662,0,1
1,30,0,0,0,0,0,1,0,0,0,2,1,1,1662,0,1
1,20,0,0,0,0,0,1,0,0,0,2,1,1,1662,0,1
1,10,0,0,0,0,0,1,0,0,0,2,1,1,1662,0,1
2,0,0,0,0,0,0,0,0,0,0,9,1,1,6967,0,0
2,70,4,1,0,0,1,1,0,1,0,1,1,1,6327,2109,2
2,30,4,1,0,0,1,1,0,1,0,1,1,1,6327,2109,2
1,60,4,1,0,0,1,1,0,1,0,1,1,1,6327,2109,2
1,30,0,1,0,0,1,1,0,1,0,1,1,1,6327,0,2
2,40,0,1,0,1,1,1,1,1,1,9,1,1,0,0,1
2,30,0,1,0,1,1,1,1,1,1,9,1,1,0,0,1
3,10,9,0,0,0,0,0,1,0,0,1,1,1,11514,1256,0
1,40,8,0,0,0,0,0,1,0,0,1,1,1,11514,1662,0
3,0,5,0,0,0,0,0,1,0,0,1,1,1,11514,1629,0
1,10,0,0,0,0,0,1,0,0,0,2,1,1,10258,0,0
2,10,0,0,0,0,0,1,0,0,0,2,1,1,10258,0,0
1,30,8,0,0,0,0,1,0,0,0,2,1,1,10258,1662,0
1,30,5,0,0,0,0,1,0,0,0,2,1,1,10258,1629,0
1,50,0,0,0,0,0,1,0,0,0,2,1,1,10258,0,0
1,40,0,0,0,0,0,1,0,0,0,2,1,1,10258,0,0
2,0,5,0,0,0,0,0,0,0,0,9,1,1,6516,1629,0
2,0,5,0,0,0,0,0,0,0,0,9,1,1,6516,1629,0
2,0,5,0,0,0,0,0,0,0,0,9,1,1,6516,1629,0
2,0,5,0,0,0,0,0,0,0,0,9,1,1,6516,1629,0
2,0,5,0,0,0,0,1,0,0,0,9,1,1,1629,1629,1
0,0,0,0,0,0,0,1,0,0,0,9,1,1,1629,0,1
2,30,7,0,0,0,0,1,1,0,0,1,1,1,1692,1692,1
2,30,0,0,0,0,0,1,1,0,0,1,1,1,1692,0,1
1,10,0,0,0,0,0,1,1,0,0,1,1,1,1692,0,1
0,10,0,0,0,0,0,1,1,0,0,1,1,1,1692,0,1
0,0,0,0,0,0,0,1,1,0,0,1,1,1,1692,0,1
0,0,0,0,0,0,0,1,1,0,0,1,1,1,1692,0,1
0,90,0,0,0,0,0,1,1,0,0,1,1,1,1692,0,1
3,10,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1
2,30,8,0,0,0,0,1,0,0,1,1,1,1,1662,1662,1
2,30,0,0,0,0,0,1,0,0,1,1,1,1,1662,0,1
0,90,0,0,0,0,0,1,0,0,1,1,1,1,1662,0,1
2,10,9,0,0,0,0,1,0,0,0,1,1,1,4310,1256,2
